S.no,Items,Description,Price(in AED),Image url
34,Chicken Breast Burger Meal,"Lettuce, onion, tomato, pickle, cheese,  secret sauce, ketchup, served with fries and drink.",0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637685173231220467?width=172&amp;height=172
35,Crispy Chicken Burger Meal,"Chicken crispy, lettuce, tomato, cheese and secret sauce",0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637685173632374789?width=172&amp;height=172
36,Ketchup And Mustard Hot Dog,"Onion, tomato, chips, corn, relish, cheese, secret sauce, mustard, ketchup.",17,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637685162967073098?width=172&amp;height=172
37,Chili Beef Hotdog,"Chilli beef,onion, cheese, secret sauce, mustard.",17,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637685162554313076?width=172&amp;height=172
38,Mushroom Hotdog,"Grilled mushroom, onion, cheese and secret sauce.",17,https://images.deliveryhero.io/image/talabat/Menuitems/Mushroom_Hot_dog_Aje_637480562264925239.jpg?width=172&amp;height=172
39,Classic Hot Dog,"Ketchup, mustard, mayo.",12,https://images.deliveryhero.io/image/talabat/Menuitems/Classic_Hot_Dog_Ajee_637480664479108660.jpg?width=172&amp;height=172
40,Cheetos Hot Dog,"Cheetos, liquid cheese and sauce",17,
41,Bbq Hot Dog,Bbq sauce and secret sauce,17,
42,Jalapeno Hot Dog,,17,
43,Ketchup and Mustard Hot Dog Meal,"Onion, tomato, chips, corn, relish, cheese, secret sauce, mustard, ketchup.",17,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637763786636768738?width=172&amp;height=172
44,Chili Beef Hotdog Meal,"Chilli beef,onion, cheese, secret sauce, mustard.",17,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637685175019515578?width=172&amp;height=172
45,Mushroom Hotdog Meal,"Grilled mushroom, onion, cheese and secret sauce.",17,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637686057617227842?width=172&amp;height=172
46,Classic Hot Dog Meal,"Ketchup, mustard, mayo.",12,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637686059021093541?width=172&amp;height=172
47,Chicken Crispy Wrap,"Lettuce, onion, tomato, chips, corn, cheese, secret sauce, ketchup.",17,https://images.deliveryhero.io/image/talabat/Menuitems/Crispy_Wrap_Ajeesh-42_637480562270539175.jpg?width=172&amp;height=172
48,Vegi Wrap,"Grilled mushroom, onion, tomatoes, chips, corn cheese, secret sauce and ketchup.",14,https://images.deliveryhero.io/image/talabat/Menuitems/Vegi_Wrap_Ajeesh-113_637480562275955757.jpg?width=172&amp;height=172
49,Chicken Fajita Wrap,"Grilled onion, tomato, corn, black olives, pepper, cheese, secret sauce.",17,https://images.deliveryhero.io/image/talabat/Menuitems/Chicken_Fejita_Ajees_637480664487686877.jpg?width=172&amp;height=172
50,Cheese Steak,"Beef stick, onion, mushroom, Pepper, cheese, ketchup and mustard sauce",22,
51,Chicken Crispy Wrap Meal,"Lettuce, onion, tomato, chips, corn, cheese, secret sauce, ketchup.",17,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637663797963183526?width=172&amp;height=172
52,Vegi Wrap Meal,"Grilled mushroom and onion, tomato, chips, corn cheese, secret sauce, ketchup.",14,
53,Chicken Fajita Wrap Meal,"Grilled onion, tomato, corn, black olives, pepper, cheese, secret sauce.",17,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637663797440201231?width=172&amp;height=172
54,Mini Burger Kids Meal,Served with fries and mini orange juice.,23,
55,Chicken Nuggets Kids Meal,Served with fries and mini orange juice.,23,https://images.deliveryhero.io/image/talabat/Menuitems/Chicken_Nugglets_Kid_637480664497362977.jpg?width=172&amp;height=172
56,Ketchup and Mustard Fries,,25,https://images.deliveryhero.io/image/talabat/Menuitems/Ketchup_and_Mustard__637480562281689524.jpg?width=172&amp;height=172
57,French Fries,,8,https://images.deliveryhero.io/image/talabat/Menuitems/French_Fries_Ajeesh-_637480562288869029.jpg?width=172&amp;height=172
58,Wedges,,9,https://images.deliveryhero.io/image/talabat/Menuitems/Wedges_Ajeesh-117_637480562294557314.jpg?width=172&amp;height=172
59,Onion Rings,,14,https://images.deliveryhero.io/image/talabat/Menuitems/Onion_Rings_Ajeesh-40_637480562302847655.jpg?width=172&amp;height=172
60,Chicken Nuggets,,14,https://images.deliveryhero.io/image/talabat/Menuitems/Chicken_Nugglets_Aje_637480664506033729.jpg?width=172&amp;height=172
61,Chicken Strips 3 Pieces,3 pcs.,14,https://images.deliveryhero.io/image/talabat/Menuitems/Chicken_Strips_3_Pie_637480664515963239.jpg?width=172&amp;height=172
62,Chicken Strips 5 Pieces, 5 pcs,21,https://images.deliveryhero.io/image/talabat/Menuitems/Chicken_Strips_5_Pie_637480664527125905.jpg?width=172&amp;height=172
63,Mini Burger,,15,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637664638136716357?width=172&amp;height=172
64, Buffalo Chicken Strips 5 Pieces,,21,
65,Chicken Wings 4 Pieces,,14,
66,Chicken Wings 8 Pieces,,21,
67,Buffalo Chicken Wings 4 Pieces,,14,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637693786750010129?width=172&amp;height=172
68,Buffalo Chicken Wings 8 Pieces,,21,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637693787525034571?width=172&amp;height=172
69,Water,,2,
70,Pepsi,,4,https://images.deliveryhero.io/image/talabat/Menuitems/Pepsi_637525297455228584.jpg?width=172&amp;height=172
71,Diet Pepsi,,4,https://images.deliveryhero.io/image/talabat/Menuitems/Diet_Pepsi_637525297459491384.jpg?width=172&amp;height=172
72,Mountain Dew,,4,https://images.deliveryhero.io/image/talabat/Menuitems/MtDew_Logo_637525297464300965.jpg?width=172&amp;height=172
73,7 Up,,4,https://images.deliveryhero.io/image/talabat/Menuitems/IMG-20201219-WA0048_637525297470781906.jpg?width=172&amp;height=172
74,Diet 7 Up,,4,https://images.deliveryhero.io/image/talabat/Menuitems/7_Up_Diet_Logo_637525297475199542.png?width=172&amp;height=172
,,,,
0,Chicken White Pasta,"Italian penne pasta, fresh mushrooms, Mama's white sauce, chicken, Mozzarella cheese, and Parmesan cheese.",38,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637646323762930186?width=172&amp;height=172
1,Four Cheese Pasta,"Penne pasta, pepperjack cheese, provolone cheese, mozzarella cheese and parmesan cheese.",25,
2,Mama's Pink Pasta,"Italian penne pasta, chicken, fresh white mushrooms, Mama's white sauce, rich tomato sauce, mozzarella cheese, parmesan cheese,  and chili flakes.",39,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637646325425438471?width=172&amp;height=172
3,Creamy Mushroom Pasta,"Italian spaghetti, sauteed mushrooms, garlic, Parmesan cheese, and Mama's white sauce.",36,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637646326279728528?width=172&amp;height=172
4,Creamy Beef Cheese Pasta,"Italian spaghetti pasta, Tex Mex beef, Mama's sauce, Cheddar cheese, Parmesan parsley garnish.",42,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637646326766183694?width=172&amp;height=172
5,Parmesan Shrimp Pasta,"Italian penne pasta, Mama's white sauce, shrimps, parmesan cheese,  and spinach.",45,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637646327483194510?width=172&amp;height=172
6,Melty Mozzarella Cheese Sticks,Fried mozzarella cheese Served with marinara sauce.,26,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637518882727103546?width=172&amp;height=172
7,Parmesan Chicken Strips,Chicken strips crispy fried served with garlic parmesan cheese sauce,35,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637518881354262546?width=172&amp;height=172
8,Chicken Wings,6 jumbo chicken wings coated with a sauce of your choice and served with homemade ranch dip.,32,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637518881995228850?width=172&amp;height=172
