Sno,Items,Description,Price(in AED),Image url
19,Italian Meatball (Sandwich),"Fresh baked panuozzo oozing with Gino's homemade Italian meatballs in a rich tomato ragu, topped with fior di latte mozzarella, parmesan, and a sprinkling of oregano. Mamma Mia!",44,https://images.deliveryhero.io/image/talabat/Menuitems/22A6BBCAC409B9837298EEC8E070A686?width=172&amp;height=172
20,Bresaola & Rocket (Sandwich),"Freshly baked panuozzo with Italian tomato sauce, fresh ricotta, premium sliced beef bresaola, fior di latte mozzarella and fresh rocket",42,https://images.deliveryhero.io/image/talabat/Menuitems/DC5E06BB9F12BA7F2D83BC9E96E46594?width=172&amp;height=172
21,Butter Chicken & Burrata (Sandwich),Freshly baked panuozzo with Gino's butter chicken and creamy burrata,44,https://images.deliveryhero.io/image/talabat/Menuitems/31C25A77D73300C73C406CF9750E85C4?width=172&amp;height=172
22,Halloumi & Roast Vegetables (Sandwich),"Freshly baked panuozzo with sundried tomato pesto, oven roast Mediterranean vegetables, sliced halloumi, and homemade basil pesto, oregano",42,https://images.deliveryhero.io/image/talabat/Menuitems/0666F4440E5BFA705092F637B74D6F72?width=172&amp;height=172
23,Chipotle Cheesesteak (Sandwich),"Freshly baked panuozzo with grilled beef strips, sautéed onions, peppers, American cheddar sauce and chipotle mayonnaise",46,https://images.deliveryhero.io/image/talabat/Menuitems/9BEF51DCBF9BC2C7CCA882006F08D43F?width=172&amp;height=172
24,Buffalo Chicken (Sandwich),"Freshly baked panuozzo with buffalo fried chicken, chopped spring onion, fior di latte mozzarella, and buffalo ranch sauce",42,https://images.deliveryhero.io/image/talabat/Menuitems/C3F753B3879BA9F4E8EE69EEE2D35336?width=172&amp;height=172
25,Tuna Mayo (Sandwich),"Freshly baked panuozzo with premium Mediterranean tuna, mayonnaise, sweetcorn, and sliced tomato",42,https://images.deliveryhero.io/image/talabat/Menuitems/48DA9601CD456F4C3EBF86125E4A9DD7?width=172&amp;height=172
26,BBQ Honey Mustard (Sandwich),"Freshly baked panuozzo with house slaw, shallow fried chicken escalope, topped with fior di latte mozzarella and swiss cheese, and drizzled with Gino's homemade bbq honey mustard dressing",46,https://images.deliveryhero.io/image/talabat/Menuitems/9489A288C8CF3631EE7BE4BFD80C5F2E?width=172&amp;height=172
27,Classic Reuben (Sandwich),"Freshly baked panuozzo with Russian sauce, sauerkraut, beef pastrami, sliced pickles, American mustard and Swiss cheese - Gino's take on a classic!",46,https://images.deliveryhero.io/image/talabat/Menuitems/219D48DB760F9FE4692B15017ECF1625?width=172&amp;height=172
28,The Rebecca (Sandwich),"Slow cooked, homemade pulled BBQ brisket, garlic & herb sauce, sliced pickle and aged smoked cheddar cheese",46,https://images.deliveryhero.io/image/talabat/Menuitems/3B9732F49EDD95EA98B4085F7DD86996?width=172&amp;height=172
